rule,side,horizon,tp,sl,train,oos_april,latest
rsi14_revert_long,long,10,0.3,0.3,"{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 10, 'count': 1281, 'mean': -0.243794, 'win_rate': 0.0937, 'profit_factor': 0.1034, 'total': -312.3}","{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 10, 'count': 493, 'mean': -0.241582, 'win_rate': 0.0974, 'profit_factor': 0.1079, 'total': -119.1}","{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 10, 'count': 59, 'mean': -0.218644, 'win_rate': 0.1356, 'profit_factor': 0.1569, 'total': -12.9}"
rsi14_revert_long,long,20,0.3,0.3,"{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 20, 'count': 1281, 'mean': -0.243794, 'win_rate': 0.0937, 'profit_factor': 0.1034, 'total': -312.3}","{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 20, 'count': 493, 'mean': -0.241582, 'win_rate': 0.0974, 'profit_factor': 0.1079, 'total': -119.1}","{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 20, 'count': 59, 'mean': -0.218644, 'win_rate': 0.1356, 'profit_factor': 0.1569, 'total': -12.9}"
breakout5_long,long,20,0.3,0.3,"{'name': 'breakout5_long', 'side': 'long', 'horizon': 20, 'count': 9192, 'mean': -0.249217, 'win_rate': 0.0846, 'profit_factor': 0.0925, 'total': -2290.8}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 20, 'count': 3797, 'mean': -0.243745, 'win_rate': 0.0938, 'profit_factor': 0.1035, 'total': -925.5}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 20, 'count': 447, 'mean': -0.232886, 'win_rate': 0.1119, 'profit_factor': 0.1259, 'total': -104.1}"
breakout5_long,long,10,0.3,0.3,"{'name': 'breakout5_long', 'side': 'long', 'horizon': 10, 'count': 9192, 'mean': -0.249217, 'win_rate': 0.0846, 'profit_factor': 0.0925, 'total': -2290.8}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 10, 'count': 3797, 'mean': -0.243745, 'win_rate': 0.0938, 'profit_factor': 0.1035, 'total': -925.5}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 10, 'count': 450, 'mean': -0.233333, 'win_rate': 0.1111, 'profit_factor': 0.125, 'total': -105.0}"
ema9_20_momo_long,long,20,0.2,0.5,"{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 20, 'count': 16851, 'mean': -0.373218, 'win_rate': 0.1811, 'profit_factor': 0.0885, 'total': -6289.1}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 20, 'count': 6919, 'mean': -0.359272, 'win_rate': 0.201, 'profit_factor': 0.1007, 'total': -2485.8}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 20, 'count': 797, 'mean': -0.35596, 'win_rate': 0.2058, 'profit_factor': 0.1036, 'total': -283.7}"
ema9_20_momo_long,long,10,0.2,0.5,"{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 10, 'count': 16851, 'mean': -0.373218, 'win_rate': 0.1811, 'profit_factor': 0.0885, 'total': -6289.1}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 10, 'count': 6919, 'mean': -0.359272, 'win_rate': 0.201, 'profit_factor': 0.1007, 'total': -2485.8}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 10, 'count': 802, 'mean': -0.356858, 'win_rate': 0.2045, 'profit_factor': 0.1028, 'total': -286.2}"
core_ema9_20_long,long,20,0.2,0.5,"{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 20, 'count': 3196, 'mean': -0.348874, 'win_rate': 0.2159, 'profit_factor': 0.1101, 'total': -1115.0}","{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 20, 'count': 1284, 'mean': -0.361526, 'win_rate': 0.1978, 'profit_factor': 0.0986, 'total': -464.2}","{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 20, 'count': 56, 'mean': -0.3625, 'win_rate': 0.1964, 'profit_factor': 0.0978, 'total': -20.3}"
core_ema9_20_long,long,10,0.2,0.5,"{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 10, 'count': 3196, 'mean': -0.348874, 'win_rate': 0.2159, 'profit_factor': 0.1101, 'total': -1115.0}","{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 10, 'count': 1284, 'mean': -0.361526, 'win_rate': 0.1978, 'profit_factor': 0.0986, 'total': -464.2}","{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 10, 'count': 57, 'mean': -0.364912, 'win_rate': 0.193, 'profit_factor': 0.0957, 'total': -20.8}"
rsi14_revert_long,long,10,0.2,0.8,"{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 10, 'count': 1281, 'mean': -0.548634, 'win_rate': 0.2514, 'profit_factor': 0.0839, 'total': -702.8}","{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 10, 'count': 493, 'mean': -0.518053, 'win_rate': 0.2819, 'profit_factor': 0.0982, 'total': -255.4}","{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 10, 'count': 59, 'mean': -0.444068, 'win_rate': 0.3559, 'profit_factor': 0.1382, 'total': -26.2}"
rsi14_revert_long,long,20,0.2,0.8,"{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 20, 'count': 1281, 'mean': -0.548634, 'win_rate': 0.2514, 'profit_factor': 0.0839, 'total': -702.8}","{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 20, 'count': 493, 'mean': -0.518053, 'win_rate': 0.2819, 'profit_factor': 0.0982, 'total': -255.4}","{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 20, 'count': 59, 'mean': -0.444068, 'win_rate': 0.3559, 'profit_factor': 0.1382, 'total': -26.2}"
